Date,Month,Year,Campus Block,Source,CO2 (kg),Remarks
19/02/2026,February,2026,sf,Electricity,0,
19/02/2026,February,2026,sf,Diesel,0,
19/02/2026,February,2026,sf,Petrol,0,
19/02/2026,February,2026,sf,Bus km,0,
19/02/2026,February,2026,sf,Car km,0,
19/02/2026,February,2026,sf,Paper Waste,0,
19/02/2026,February,2026,sf,Organic Waste,0,
04/02/2026,February,2026,bit,Electricity,100,
04/02/2026,February,2026,bit,Diesel,100,
04/02/2026,February,2026,bit,Petrol,50,
04/02/2026,February,2026,bit,Bus km,999,
04/02/2026,February,2026,bit,Car km,500,
04/02/2026,February,2026,bit,Paper Waste,500,
04/02/2026,February,2026,bit,Organic Waste,49,
06/02/2026,February,2026,sf block,Electricity,498,
06/02/2026,February,2026,sf block,Diesel,500,
06/02/2026,February,2026,sf block,Petrol,500,
06/02/2026,February,2026,sf block,Bus km,100,
06/02/2026,February,2026,sf block,Car km,99,
06/02/2026,February,2026,sf block,Paper Waste,100,
06/02/2026,February,2026,sf block,Organic Waste,50,
11/02/2026,February,2026,sf,Electricity,90,
11/02/2026,February,2026,sf,Diesel,90,
11/02/2026,February,2026,sf,Petrol,90,
11/02/2026,February,2026,sf,Bus km,89,
11/02/2026,February,2026,sf,Car km,88,
11/02/2026,February,2026,sf,Paper Waste,89,
11/02/2026,February,2026,sf,Organic Waste,0,
12/02/2026,February,2026,sf black,Electricity,100,
12/02/2026,February,2026,sf black,Diesel,10,
12/02/2026,February,2026,sf black,Petrol,100,
12/02/2026,February,2026,sf black,Bus km,100,
12/02/2026,February,2026,sf black,Car km,100,
12/02/2026,February,2026,sf black,Paper Waste,99,
12/02/2026,February,2026,sf black,Organic Waste,99,
